Item ID,Grade,Subject,Cycle,Released,In Scaling,"TIMSS 2007Block","TIMSS 2007Block Seq",Content Domain,Topic Area,"Topic Area Bullet(Objective)","CognitiveDomain","ScientificInquiry","ItemType",Options,Key,"MaximumPoints",Item Label
M022043,8,M,2,Yes,Yes,M01,1,Number,Fractions and Decimals,3,Knowing,,MC,5,D,1,Circle with same shaded fraction
M022046,8,M,2,Yes,Yes,M01,2,Number,Fractions and Decimals,7,Applying,,CR,-,-,1,Total kilograms of seed from mixture
M022049,8,M,2,Yes,Yes,M01,3,Geometry,Location and Movement,3,Reasoning,,MC,4,D,1,Rotated 3-dimensional object
M022050,8,M,2,Yes,Yes,M01,4,Algebra,Equations/Formulas and Functions,3,Knowing,,MC,5,E,1,Inequality equivalent to x/3 > 8
M022055,8,M,2,Yes,Yes,M01,5,Geometry,Geometric Measurement,3,Applying,,CR,-,-,1,Perimeter of square from area
M022057,8,M,2,Yes,Yes,M01,6,Number,"Ratio, Proportion and Percent",4,Applying,,MC,5,C,1,Approximate tons of fertilizer sold
M022257,8,M,2,Yes,Yes,M01,7,Data and Chance,Chance,3,Applying,,MC,5,C,1,Probability of drawing blue bead
M022062,8,M,2,Yes,Yes,M01,8,Geometry,Geometric Shapes,3,Applying,,MC,5,B,1,Value of angle in congruent triangle
M022066,8,M,2,Yes,Yes,M01,9,Number,Fractions and Decimals,6,Knowing,,MC,4,D,1,Addition of three fractions
M022232,8,M,2,Yes,Yes,M01,10,Number,Fractions and Decimals,7,Applying,,CR,-,-,2,Estimate time for water to cool
M022234A,8,M,2,Yes,Yes,M01,11A,Geometry,Geometric Shapes,4,Applying,,CR,-,-,2,New rectangle from old/draw on grid
M022234B,8,M,2,Yes,Yes,M01,11B,Number,"Ratio, Proportion and Percent",1,Applying,,CR,-,-,2,New rectangle from old/ratio of area
M022243,8,M,2,Yes,Yes,M01,12,Geometry,Geometric Measurement,3,Applying,,CR,-,-,1,Area of triangle inside a square
