"ta1" "ta2" "ta3" "ta4" "ta5"
"1" NA 2 1 1 NA
"2" 0 0 0 0 0
"3" 1 1 2 0 2
"4" 1 2 2 0 1
"5" NA 1 1 1 1
"6" 1 2 1 0 1
"7" 1 3 1 1 1
"8" 0 0 1 1 1
"9" 0 0 0 0 0
"10" 1 1 1 1 1
"11" 0 1 1 1 1
"12" 0 2 1 0 0
"13" 1 2 1 0 3
"14" 1 2 1 1 NA
"15" 1 2 1 0 3
"16" 0 0 0 0 0
"17" 0 2 3 0 2
"18" 1 1 0 0 0
"19" NA 3 2 0 NA
"20" NA 2 1 0 1
"21" 0 2 3 2 3
"22" 1 2 2 3 0
"23" 1 1 1 1 2
"24" 1 2 2 1 1
"25" 1 0 1 0 2
"26" 1 2 2 1 2
"27" 0 1 1 0 0
"28" 1 3 2 1 1
"29" 1 1 2 1 2
"30" 1 2 1 1 1
"31" 2 0 3 2 1
"32" 2 2 2 2 3
"33" 2 1 1 1 1
"34" 1 1 1 1 1
"35" 1 0 3 3 3
"36" 1 2 1 0 1
"37" 2 2 1 1 1
"38" 1 0 1 1 1
"39" 1 3 1 1 2
"40" 0 2 1 1 2
"41" 1 0 0 0 0
"42" 0 0 1 1 0
"43" 1 2 1 0 2
"44" 1 1 1 1 2
"45" 1 1 1 1 1
"46" 2 2 1 1 1
"47" 1 1 2 0 2
"48" 1 2 2 1 1
"49" 0 0 1 1 2
"50" 1 2 2 0 2
"51" 0 2 1 1 0
"52" NA 0 1 NA 1
"53" 2 1 1 0 0
"54" 1 1 3 2 3
"55" 1 2 0 0 3
"56" 1 1 0 1 0
"57" 1 1 2 2 1
"58" 1 1 1 0 0
"59" 2 3 2 1 1
"60" 3 2 1 3 2
"61" 1 0 1 0 0
"62" 1 2 1 0 0
"63" 1 1 1 0 1
"64" 2 1 1 2 2
"65" NA 1 1 0 0
"66" 1 2 1 1 0
"67" 1 0 1 3 3
"68" 2 1 0 1 3
"69" 0 2 1 0 1
"70" 0 0 0 0 0
"71" 1 2 1 1 1
"72" 1 2 2 1 3
"73" 2 1 2 2 2
"74" 1 2 1 2 NA
"75" 1 0 1 1 1
"76" 1 2 1 2 1
"77" 1 2 0 1 0
"78" 1 1 1 1 1
"79" 0 1 1 1 2
