"male" "i1" "i2" "i3" "i4"
"1" 0 0 0 0 0
"2" 0 0 0 0 0
"3" 0 0 0 0 0
"4" 0 0 0 0 0
"5" 0 0 0 0 0
"6" 0 0 0 0 0
"7" 0 0 0 0 0
"8" 0 0 0 0 0
"9" 0 0 0 0 0
"10" 0 0 0 0 0
"11" 0 0 0 0 0
"12" 0 0 0 0 0
"13" 0 0 0 0 0
"14" 0 0 0 0 0
"15" 0 0 0 0 0
"16" 0 0 0 0 0
"17" 0 0 0 0 0
"18" 0 0 0 0 0
"19" 0 0 0 0 0
"20" 0 0 0 0 0
"21" 0 0 0 0 0
"22" 0 0 0 0 0
"23" 0 0 0 0 0
"24" 0 0 0 0 0
"25" 0 0 0 0 0
"26" 0 0 0 0 0
"27" 0 0 0 0 0
"28" 0 0 0 0 0
"29" 0 0 0 0 0
"30" 1 0 0 0 0
"31" 1 0 0 0 0
"32" 1 0 0 0 0
"33" 1 0 0 0 0
"34" 1 0 0 0 0
"35" 1 0 0 0 0
"36" 1 0 0 0 0
"37" 1 0 0 0 0
"38" 1 0 0 0 0
"39" 1 0 0 0 0
"40" 1 0 0 0 0
"41" 1 0 0 0 0
"42" 1 0 0 0 0
"43" 1 0 0 0 0
"44" 1 0 0 0 0
"45" 1 0 0 0 0
"46" 1 0 0 0 0
"47" 1 0 0 0 0
"48" 1 0 0 0 0
"49" 1 0 0 0 0
"50" 1 0 0 0 0
"51" 1 0 0 0 0
"52" 0 0 0 0 1
"53" 0 0 0 0 1
"54" 0 0 0 0 1
"55" 0 0 0 0 1
"56" 0 0 0 0 1
"57" 0 0 0 0 1
"58" 0 0 0 0 1
"59" 1 0 0 0 1
"60" 1 0 0 0 1
"61" 1 0 0 0 1
"62" 1 0 0 0 1
"63" 1 0 0 0 1
"64" 1 0 0 0 1
"65" 1 0 0 0 1
"66" 1 0 0 0 1
"67" 1 0 0 0 1
"68" 1 0 0 0 1
"69" 0 0 0 1 0
"70" 0 0 0 1 0
"71" 0 0 0 1 0
"72" 0 0 0 1 0
"73" 0 0 0 1 0
"74" 0 0 0 1 0
"75" 1 0 0 1 0
"76" 0 0 1 0 0
"77" 0 0 1 0 0
"78" 0 0 1 0 0
"79" 0 0 1 0 0
"80" 0 0 1 0 0
"81" 0 0 1 0 0
"82" 0 0 1 0 0
"83" 0 0 1 0 0
"84" 0 0 1 0 0
"85" 0 0 1 0 0
"86" 0 0 1 0 0
"87" 0 0 1 0 0
"88" 0 0 1 0 0
"89" 0 0 1 0 0
"90" 0 0 1 0 0
"91" 1 0 1 0 0
"92" 1 0 1 0 0
"93" 1 0 1 0 0
"94" 1 0 1 0 0
"95" 1 0 1 0 0
"96" 1 0 1 0 0
"97" 1 0 1 0 0
"98" 1 0 1 0 0
"99" 1 0 1 0 0
"100" 1 0 1 0 0
"101" 1 0 1 0 0
"102" 1 0 1 0 0
"103" 1 0 1 0 0
"104" 0 0 1 0 1
"105" 0 0 1 0 1
"106" 0 0 1 0 1
"107" 0 0 1 0 1
"108" 1 0 1 0 1
"109" 1 0 1 0 1
"110" 1 0 1 0 1
"111" 1 0 1 0 1
"112" 1 0 1 0 1
"113" 1 0 1 0 1
"114" 1 0 1 0 1
"115" 1 0 1 0 1
"116" 1 0 1 0 1
"117" 1 0 1 0 1
"118" 1 0 1 0 1
"119" 1 0 1 0 1
"120" 1 0 1 0 1
"121" 1 0 1 0 1
"122" 0 0 1 1 0
"123" 0 0 1 1 0
"124" 1 0 1 1 0
"125" 0 0 1 1 1
"126" 0 0 1 1 1
"127" 0 0 1 1 1
"128" 0 0 1 1 1
"129" 0 0 1 1 1
"130" 0 0 1 1 1
"131" 1 0 1 1 1
"132" 1 0 1 1 1
"133" 1 0 1 1 1
"134" 1 0 1 1 1
"135" 1 0 1 1 1
"136" 1 0 1 1 1
"137" 1 0 1 1 1
"138" 1 0 1 1 1
"139" 0 1 0 0 0
"140" 0 1 0 0 0
"141" 0 1 0 0 0
"142" 0 1 0 0 0
"143" 0 1 0 0 0
"144" 0 1 0 0 0
"145" 0 1 0 0 0
"146" 0 1 0 0 0
"147" 0 1 0 0 0
"148" 0 1 0 0 0
"149" 0 1 0 0 0
"150" 0 1 0 0 0
"151" 0 1 0 0 0
"152" 0 1 0 0 0
"153" 0 1 0 0 0
"154" 0 1 0 0 0
"155" 0 1 0 0 0
"156" 0 1 0 0 0
"157" 0 1 0 0 0
"158" 0 1 0 0 0
"159" 0 1 0 0 0
"160" 0 1 0 0 0
"161" 0 1 0 0 0
"162" 0 1 0 0 0
"163" 0 1 0 0 0
"164" 0 1 0 0 0
"165" 0 1 0 0 0
"166" 0 1 0 0 0
"167" 0 1 0 0 0
"168" 0 1 0 0 0
"169" 0 1 0 0 0
"170" 0 1 0 0 0
"171" 0 1 0 0 0
"172" 0 1 0 0 0
"173" 0 1 0 0 0
"174" 0 1 0 0 0
"175" 0 1 0 0 0
"176" 0 1 0 0 0
"177" 0 1 0 0 0
"178" 0 1 0 0 0
"179" 0 1 0 0 0
"180" 0 1 0 0 0
"181" 0 1 0 0 0
"182" 0 1 0 0 0
"183" 0 1 0 0 0
"184" 0 1 0 0 0
"185" 0 1 0 0 0
"186" 0 1 0 0 0
"187" 0 1 0 0 0
"188" 0 1 0 0 0
"189" 1 1 0 0 0
"190" 1 1 0 0 0
"191" 1 1 0 0 0
"192" 1 1 0 0 0
"193" 1 1 0 0 0
"194" 1 1 0 0 0
"195" 1 1 0 0 0
"196" 1 1 0 0 0
"197" 1 1 0 0 0
"198" 1 1 0 0 0
"199" 1 1 0 0 0
"200" 1 1 0 0 0
"201" 1 1 0 0 0
"202" 1 1 0 0 0
"203" 1 1 0 0 0
"204" 1 1 0 0 0
"205" 1 1 0 0 0
"206" 1 1 0 0 0
"207" 1 1 0 0 0
"208" 1 1 0 0 0
"209" 1 1 0 0 0
"210" 1 1 0 0 0
"211" 1 1 0 0 0
"212" 1 1 0 0 0
"213" 1 1 0 0 0
"214" 1 1 0 0 0
"215" 1 1 0 0 0
"216" 1 1 0 0 0
"217" 1 1 0 0 0
"218" 1 1 0 0 0
"219" 0 1 0 0 1
"220" 0 1 0 0 1
"221" 0 1 0 0 1
"222" 0 1 0 0 1
"223" 0 1 0 0 1
"224" 0 1 0 0 1
"225" 0 1 0 0 1
"226" 0 1 0 0 1
"227" 0 1 0 0 1
"228" 0 1 0 0 1
"229" 0 1 0 0 1
"230" 0 1 0 0 1
"231" 0 1 0 0 1
"232" 0 1 0 0 1
"233" 0 1 0 0 1
"234" 0 1 0 0 1
"235" 0 1 0 0 1
"236" 0 1 0 0 1
"237" 0 1 0 0 1
"238" 0 1 0 0 1
"239" 0 1 0 0 1
"240" 0 1 0 0 1
"241" 0 1 0 0 1
"242" 0 1 0 0 1
"243" 0 1 0 0 1
"244" 0 1 0 0 1
"245" 0 1 0 0 1
"246" 0 1 0 0 1
"247" 0 1 0 0 1
"248" 0 1 0 0 1
"249" 1 1 0 0 1
"250" 1 1 0 0 1
"251" 1 1 0 0 1
"252" 1 1 0 0 1
"253" 1 1 0 0 1
"254" 1 1 0 0 1
"255" 1 1 0 0 1
"256" 1 1 0 0 1
"257" 1 1 0 0 1
"258" 1 1 0 0 1
"259" 1 1 0 0 1
"260" 1 1 0 0 1
"261" 1 1 0 0 1
"262" 1 1 0 0 1
"263" 1 1 0 0 1
"264" 1 1 0 0 1
"265" 1 1 0 0 1
"266" 1 1 0 0 1
"267" 1 1 0 0 1
"268" 1 1 0 0 1
"269" 1 1 0 0 1
"270" 1 1 0 0 1
"271" 1 1 0 0 1
"272" 1 1 0 0 1
"273" 1 1 0 0 1
"274" 1 1 0 0 1
"275" 1 1 0 0 1
"276" 0 1 0 1 0
"277" 0 1 0 1 0
"278" 0 1 0 1 0
"279" 0 1 0 1 0
"280" 0 1 0 1 0
"281" 0 1 0 1 0
"282" 0 1 0 1 0
"283" 0 1 0 1 0
"284" 0 1 0 1 0
"285" 0 1 0 1 0
"286" 0 1 0 1 0
"287" 0 1 0 1 0
"288" 1 1 0 1 0
"289" 1 1 0 1 0
"290" 1 1 0 1 0
"291" 1 1 0 1 0
"292" 1 1 0 1 0
"293" 0 1 0 1 1
"294" 0 1 0 1 1
"295" 0 1 0 1 1
"296" 0 1 0 1 1
"297" 0 1 0 1 1
"298" 0 1 0 1 1
"299" 0 1 0 1 1
"300" 0 1 0 1 1
"301" 0 1 0 1 1
"302" 0 1 0 1 1
"303" 1 1 0 1 1
"304" 1 1 0 1 1
"305" 1 1 0 1 1
"306" 1 1 0 1 1
"307" 1 1 0 1 1
"308" 1 1 0 1 1
"309" 1 1 0 1 1
"310" 1 1 0 1 1
"311" 0 1 1 0 0
"312" 0 1 1 0 0
"313" 0 1 1 0 0
"314" 0 1 1 0 0
"315" 0 1 1 0 0
"316" 0 1 1 0 0
"317" 0 1 1 0 0
"318" 0 1 1 0 0
"319" 0 1 1 0 0
"320" 0 1 1 0 0
"321" 0 1 1 0 0
"322" 0 1 1 0 0
"323" 0 1 1 0 0
"324" 0 1 1 0 0
"325" 0 1 1 0 0
"326" 0 1 1 0 0
"327" 0 1 1 0 0
"328" 0 1 1 0 0
"329" 0 1 1 0 0
"330" 0 1 1 0 0
"331" 0 1 1 0 0
"332" 0 1 1 0 0
"333" 0 1 1 0 0
"334" 0 1 1 0 0
"335" 0 1 1 0 0
"336" 0 1 1 0 0
"337" 0 1 1 0 0
"338" 0 1 1 0 0
"339" 0 1 1 0 0
"340" 0 1 1 0 0
"341" 0 1 1 0 0
"342" 0 1 1 0 0
"343" 0 1 1 0 0
"344" 0 1 1 0 0
"345" 0 1 1 0 0
"346" 0 1 1 0 0
"347" 0 1 1 0 0
"348" 0 1 1 0 0
"349" 0 1 1 0 0
"350" 0 1 1 0 0
"351" 0 1 1 0 0
"352" 0 1 1 0 0
"353" 0 1 1 0 0
"354" 0 1 1 0 0
"355" 0 1 1 0 0
"356" 0 1 1 0 0
"357" 0 1 1 0 0
"358" 0 1 1 0 0
"359" 0 1 1 0 0
"360" 0 1 1 0 0
"361" 0 1 1 0 0
"362" 0 1 1 0 0
"363" 0 1 1 0 0
"364" 0 1 1 0 0
"365" 0 1 1 0 0
"366" 0 1 1 0 0
"367" 0 1 1 0 0
"368" 0 1 1 0 0
"369" 0 1 1 0 0
"370" 0 1 1 0 0
"371" 0 1 1 0 0
"372" 0 1 1 0 0
"373" 0 1 1 0 0
"374" 0 1 1 0 0
"375" 0 1 1 0 0
"376" 0 1 1 0 0
"377" 0 1 1 0 0
"378" 1 1 1 0 0
"379" 1 1 1 0 0
"380" 1 1 1 0 0
"381" 1 1 1 0 0
"382" 1 1 1 0 0
"383" 1 1 1 0 0
"384" 1 1 1 0 0
"385" 1 1 1 0 0
"386" 1 1 1 0 0
"387" 1 1 1 0 0
"388" 1 1 1 0 0
"389" 1 1 1 0 0
"390" 1 1 1 0 0
"391" 1 1 1 0 0
"392" 1 1 1 0 0
"393" 1 1 1 0 0
"394" 1 1 1 0 0
"395" 1 1 1 0 0
"396" 1 1 1 0 0
"397" 1 1 1 0 0
"398" 1 1 1 0 0
"399" 1 1 1 0 0
"400" 1 1 1 0 0
"401" 1 1 1 0 0
"402" 0 1 1 0 1
"403" 0 1 1 0 1
"404" 0 1 1 0 1
"405" 0 1 1 0 1
"406" 0 1 1 0 1
"407" 0 1 1 0 1
"408" 0 1 1 0 1
"409" 0 1 1 0 1
"410" 0 1 1 0 1
"411" 0 1 1 0 1
"412" 0 1 1 0 1
"413" 0 1 1 0 1
"414" 0 1 1 0 1
"415" 0 1 1 0 1
"416" 0 1 1 0 1
"417" 0 1 1 0 1
"418" 0 1 1 0 1
"419" 0 1 1 0 1
"420" 0 1 1 0 1
"421" 0 1 1 0 1
"422" 0 1 1 0 1
"423" 0 1 1 0 1
"424" 0 1 1 0 1
"425" 0 1 1 0 1
"426" 0 1 1 0 1
"427" 0 1 1 0 1
"428" 0 1 1 0 1
"429" 0 1 1 0 1
"430" 0 1 1 0 1
"431" 0 1 1 0 1
"432" 0 1 1 0 1
"433" 0 1 1 0 1
"434" 0 1 1 0 1
"435" 0 1 1 0 1
"436" 0 1 1 0 1
"437" 0 1 1 0 1
"438" 0 1 1 0 1
"439" 0 1 1 0 1
"440" 0 1 1 0 1
"441" 0 1 1 0 1
"442" 0 1 1 0 1
"443" 0 1 1 0 1
"444" 0 1 1 0 1
"445" 0 1 1 0 1
"446" 0 1 1 0 1
"447" 0 1 1 0 1
"448" 0 1 1 0 1
"449" 0 1 1 0 1
"450" 0 1 1 0 1
"451" 0 1 1 0 1
"452" 0 1 1 0 1
"453" 0 1 1 0 1
"454" 0 1 1 0 1
"455" 0 1 1 0 1
"456" 0 1 1 0 1
"457" 0 1 1 0 1
"458" 0 1 1 0 1
"459" 0 1 1 0 1
"460" 0 1 1 0 1
"461" 0 1 1 0 1
"462" 0 1 1 0 1
"463" 0 1 1 0 1
"464" 0 1 1 0 1
"465" 1 1 1 0 1
"466" 1 1 1 0 1
"467" 1 1 1 0 1
"468" 1 1 1 0 1
"469" 1 1 1 0 1
"470" 1 1 1 0 1
"471" 1 1 1 0 1
"472" 1 1 1 0 1
"473" 1 1 1 0 1
"474" 1 1 1 0 1
"475" 1 1 1 0 1
"476" 1 1 1 0 1
"477" 1 1 1 0 1
"478" 1 1 1 0 1
"479" 1 1 1 0 1
"480" 1 1 1 0 1
"481" 1 1 1 0 1
"482" 1 1 1 0 1
"483" 1 1 1 0 1
"484" 1 1 1 0 1
"485" 1 1 1 0 1
"486" 1 1 1 0 1
"487" 1 1 1 0 1
"488" 1 1 1 0 1
"489" 1 1 1 0 1
"490" 1 1 1 0 1
"491" 1 1 1 0 1
"492" 1 1 1 0 1
"493" 1 1 1 0 1
"494" 1 1 1 0 1
"495" 1 1 1 0 1
"496" 1 1 1 0 1
"497" 1 1 1 0 1
"498" 1 1 1 0 1
"499" 1 1 1 0 1
"500" 1 1 1 0 1
"501" 1 1 1 0 1
"502" 1 1 1 0 1
"503" 1 1 1 0 1
"504" 1 1 1 0 1
"505" 1 1 1 0 1
"506" 1 1 1 0 1
"507" 1 1 1 0 1
"508" 1 1 1 0 1
"509" 1 1 1 0 1
"510" 1 1 1 0 1
"511" 1 1 1 0 1
"512" 1 1 1 0 1
"513" 1 1 1 0 1
"514" 1 1 1 0 1
"515" 1 1 1 0 1
"516" 1 1 1 0 1
"517" 1 1 1 0 1
"518" 1 1 1 0 1
"519" 0 1 1 1 0
"520" 0 1 1 1 0
"521" 0 1 1 1 0
