IDBOOK,IDSCORA,IDCNTRY,IDSCHOOL,IDCLASS,IDSTUD,ITSEX,ITLANG,SSYSTEM,ILRELIAB,IDPOP,IDGRADE,IDGRADER,BSDAGE,JKREP,JKZONE,HOUWGT,SENWGT,TOTWGT
2,328,840,401,40101,4010101,1,1,1,0,2,8,2,14.5,0,1,2.354465333,0.159581492,1099.707751
3,354,840,401,40101,4010102,1,1,2,1,2,8,2,14.33333333,0,1,2.354465333,0.159581492,1099.707751
4,393,840,401,40101,4010103,2,1,3,0,2,8,2,14.66666667,0,1,2.354465333,0.159581492,1099.707751
5,388,840,401,40101,4010105,1,1,5,0,2,8,2,13.75,0,1,2.354465333,0.159581492,1099.707751
6,375,840,401,40101,4010106,2,1,6,1,2,8,2,13.91666667,0,1,2.354465333,0.159581492,1099.707751
7,389,840,401,40101,4010107,2,1,7,0,2,8,2,14.08333333,0,1,2.354465333,0.159581492,1099.707751
8,391,840,401,40101,4010109,2,1,9,0,2,8,2,14.5,0,1,2.354465333,0.159581492,1099.707751
9,376,840,401,40101,4010110,2,1,10,1,2,8,2,14.58333333,0,1,2.354465333,0.159581492,1099.707751
10,393,840,401,40101,4010111,1,1,11,0,2,8,2,13.75,0,1,2.354465333,0.159581492,1099.707751
11,393,840,401,40101,4010112,2,1,12,0,2,8,2,14.5,0,1,2.354465333,0.159581492,1099.707751
12,330,840,401,40101,4010114,1,1,14,1,2,8,2,13.66666667,0,1,2.354465333,0.159581492,1099.707751
13,392,840,401,40101,4010115,1,1,15,0,2,8,2,14,0,1,2.354465333,0.159581492,1099.707751
14,393,840,401,40101,4010116,1,1,16,0,2,8,2,14.75,0,1,2.354465333,0.159581492,1099.707751
1,373,840,401,40101,4010118,1,1,18,1,2,8,2,14.25,0,1,2.354465333,0.159581492,1099.707751
2,390,840,401,40101,4010119,1,1,19,0,2,8,2,14.33333333,0,1,2.354465333,0.159581492,1099.707751
3,392,840,401,40101,4010120,1,1,20,0,2,8,2,14.08333333,0,1,2.354465333,0.159581492,1099.707751
4,354,840,401,40101,4010121,2,1,21,0,2,8,2,14.41666667,0,1,2.354465333,0.159581492,1099.707751
14,391,840,403,40301,4030101,2,1,23,1,2,8,2,13.58333333,1,1,2.675528791,0.181342605,1249.6679
1,393,840,403,40301,4030103,2,1,25,0,2,8,2,14.5,1,1,2.675528791,0.181342605,1249.6679
2,391,840,403,40301,4030105,1,1,26,0,2,8,2,13.25,1,1,2.675528791,0.181342605,1249.6679
3,328,840,403,40301,4030106,2,1,27,1,2,8,2,13.83333333,1,1,2.675528791,0.181342605,1249.6679
4,375,840,403,40301,4030107,2,1,28,0,2,8,2,13.75,1,1,2.675528791,0.181342605,1249.6679
5,390,840,403,40301,4030109,2,1,30,0,2,8,2,14,1,1,2.675528791,0.181342605,1249.6679
6,373,840,403,40301,4030110,2,1,31,1,2,8,2,14,1,1,2.675528791,0.181342605,1249.6679
3,391,840,406,40601,4060101,2,1,32,0,2,8,2,14,0,2,1.196947091,0.081126955,559.0619551
4,328,840,406,40601,4060102,1,1,33,0,2,8,2,13.91666667,0,2,1.196947091,0.081126955,559.0619551
5,391,840,406,40601,4060104,2,1,35,0,2,8,2,13.83333333,0,2,1.196947091,0.081126955,559.0619551
6,393,840,406,40601,4060105,1,1,36,0,2,8,2,14.5,0,2,1.196947091,0.081126955,559.0619551
7,390,840,406,40601,4060106,2,1,37,0,2,8,2,14.58333333,0,2,1.196947091,0.081126955,559.0619551
8,391,840,406,40601,4060108,2,1,39,0,2,8,2,13.83333333,0,2,1.196947091,0.081126955,559.0619551
9,393,840,406,40601,4060109,1,1,40,0,2,8,2,14.58333333,0,2,1.196947091,0.081126955,559.0619551
10,390,840,406,40601,4060110,2,1,41,0,2,8,2,13.83333333,0,2,1.196947091,0.081126955,559.0619551
11,393,840,406,40601,4060111,2,1,42,1,2,8,2,14.25,0,2,1.196947091,0.081126955,559.0619551
12,393,840,406,40601,4060113,1,1,44,0,2,8,2,13.66666667,0,2,1.196947091,0.081126955,559.0619551
13,391,840,406,40601,4060114,2,1,45,0,2,8,2,14.25,0,2,1.196947091,0.081126955,559.0619551
14,393,840,406,40601,4060115,1,1,46,1,2,8,2,14.5,0,2,1.196947091,0.081126955,559.0619551
1,393,840,406,40602,4060202,1,1,48,0,2,8,2,13.66666667,0,2,1.231145579,0.083444868,575.0351538
2,342,840,406,40602,4060203,2,1,49,0,2,8,2,13.75,0,2,1.231145579,0.083444868,575.0351538
3,393,840,406,40602,4060204,1,1,50,1,2,8,2,13.91666667,0,2,1.231145579,0.083444868,575.0351538
4,317,840,406,40602,4060205,2,1,51,0,2,8,2,13.75,0,2,1.231145579,0.083444868,575.0351538
5,391,840,406,40602,4060207,2,1,53,0,2,8,2,15.08333333,0,2,1.231145579,0.083444868,575.0351538
6,393,840,406,40602,4060208,1,1,54,1,2,8,2,14.5,0,2,1.231145579,0.083444868,575.0351538
7,389,840,406,40602,4060209,2,1,55,0,2,8,2,13.75,0,2,1.231145579,0.083444868,575.0351538
8,389,840,406,40602,4060211,1,1,57,0,2,8,2,14.5,0,2,1.231145579,0.083444868,575.0351538
9,389,840,406,40602,4060212,2,1,58,1,2,8,2,15.25,0,2,1.231145579,0.083444868,575.0351538
10,330,840,406,40602,4060213,1,1,59,0,2,8,2,14.08333333,0,2,1.231145579,0.083444868,575.0351538
11,390,840,406,40602,4060214,1,1,60,0,2,8,2,13.91666667,0,2,1.231145579,0.083444868,575.0351538
12,331,840,406,40602,4060216,2,1,62,1,2,8,2,13.83333333,0,2,1.231145579,0.083444868,575.0351538
13,391,840,406,40602,4060217,2,1,63,0,2,8,2,14.91666667,0,2,1.231145579,0.083444868,575.0351538
14,393,840,406,40602,4060218,2,1,64,0,2,8,2,13.91666667,0,2,1.231145579,0.083444868,575.0351538
7,391,840,412,41201,4120101,2,1,65,0,2,8,2,14.58333333,0,4,0.957557671,0.064901564,447.2495633
8,393,840,412,41201,4120103,2,1,67,0,2,8,2,13.83333333,0,4,0.957557671,0.064901564,447.2495633
9,376,840,412,41201,4120104,2,1,68,0,2,8,2,14,0,4,0.957557671,0.064901564,447.2495633
10,393,840,412,41201,4120105,2,1,69,0,2,8,2,14.58333333,0,4,0.957557671,0.064901564,447.2495633
11,388,840,412,41201,4120106,1,1,70,1,2,8,2,14.58333333,0,4,0.957557671,0.064901564,447.2495633
12,391,840,412,41201,4120108,2,1,72,0,2,8,2,14.5,0,4,0.957557671,0.064901564,447.2495633
13,355,840,412,41201,4120109,1,1,73,0,2,8,2,14.08333333,0,4,0.957557671,0.064901564,447.2495633
14,392,840,412,41201,4120110,1,1,74,1,2,8,2,14.5,0,4,0.957557671,0.064901564,447.2495633
1,393,840,412,41201,4120112,2,1,76,0,2,8,2,13.83333333,0,4,0.957557671,0.064901564,447.2495633
2,393,840,412,41201,4120113,2,1,77,0,2,8,2,13.75,0,4,0.957557671,0.064901564,447.2495633
3,392,840,412,41201,4120114,2,1,78,1,2,8,2,14.16666667,0,4,0.957557671,0.064901564,447.2495633
4,391,840,412,41201,4120115,2,1,79,0,2,8,2,14.5,0,4,0.957557671,0.064901564,447.2495633
5,393,840,412,41201,4120117,2,1,81,0,2,8,2,14.08333333,0,4,0.957557671,0.064901564,447.2495633
6,393,840,412,41201,4120118,2,1,82,1,2,8,2,13.83333333,0,4,0.957557671,0.064901564,447.2495633
7,389,840,412,41201,4120119,1,1,83,0,2,8,2,14.58333333,0,4,0.957557671,0.064901564,447.2495633
8,393,840,412,41202,4120202,1,1,85,0,2,8,2,14.08333333,0,4,0.957557671,0.064901564,447.2495633
9,389,840,412,41202,4120203,1,1,86,1,2,8,2,14.5,0,4,0.957557671,0.064901564,447.2495633
10,391,840,412,41202,4120204,2,1,87,0,2,8,2,13.66666667,0,4,0.957557671,0.064901564,447.2495633
11,331,840,412,41202,4120205,2,1,88,0,2,8,2,14.16666667,0,4,0.957557671,0.064901564,447.2495633
12,388,840,412,41203,4120301,2,1,90,1,2,8,2,14.25,0,4,0.909679787,0.061656486,424.8870851
13,390,840,412,41203,4120302,2,1,91,0,2,8,2,14.5,0,4,0.909679787,0.061656486,424.8870851
14,317,840,412,41203,4120303,1,1,92,0,2,8,2,14.25,0,4,0.909679787,0.061656486,424.8870851
1,328,840,412,41203,4120305,1,1,94,1,2,8,2,14.41666667,0,4,0.909679787,0.061656486,424.8870851
2,393,840,412,41203,4120306,2,1,95,0,2,8,2,14.5,0,4,0.909679787,0.061656486,424.8870851
3,342,840,412,41203,4120307,2,1,96,0,2,8,2,14.25,0,4,0.909679787,0.061656486,424.8870851
4,391,840,412,41203,4120308,2,1,97,0,2,8,2,13.83333333,0,4,0.909679787,0.061656486,424.8870851
5,336,840,412,41203,4120310,1,1,99,0,2,8,2,14.16666667,0,4,0.909679787,0.061656486,424.8870851
6,315,840,412,41203,4120311,1,1,100,0,2,8,2,13.66666667,0,4,0.909679787,0.061656486,424.8870851
7,393,840,412,41203,4120312,2,1,101,0,2,8,2,14.41666667,0,4,0.909679787,0.061656486,424.8870851
8,390,840,412,41203,4120314,1,1,103,0,2,8,2,13.83333333,0,4,0.909679787,0.061656486,424.8870851
9,389,840,412,41203,4120315,2,1,104,0,2,8,2,14.16666667,0,4,0.909679787,0.061656486,424.8870851
10,393,840,412,41203,4120316,2,1,105,0,2,8,2,13.83333333,0,4,0.909679787,0.061656486,424.8870851
11,330,840,412,41203,4120317,1,1,106,1,2,8,2,14.58333333,0,4,0.909679787,0.061656486,424.8870851
12,390,840,412,41203,4120319,1,1,108,0,2,8,2,14.16666667,0,4,0.909679787,0.061656486,424.8870851
13,392,840,412,41203,4120320,1,1,109,0,2,8,2,14.91666667,0,4,0.909679787,0.061656486,424.8870851
14,391,840,412,41203,4120321,2,1,110,1,2,8,2,13.91666667,0,4,0.909679787,0.061656486,424.8870851
1,317,840,412,41203,4120323,2,1,112,0,2,8,2,14.08333333,0,4,0.909679787,0.061656486,424.8870851
2,342,840,412,41203,4120324,2,1,113,0,2,8,2,13.83333333,0,4,0.909679787,0.061656486,424.8870851
3,391,840,412,41203,4120325,2,1,114,1,2,8,2,13.91666667,0,4,0.909679787,0.061656486,424.8870851
4,392,840,414,41401,4140101,2,1,115,0,2,8,2,14.25,1,4,0.872089713,0.059108697,407.3297673
5,393,840,414,41401,4140103,2,1,117,0,2,8,2,14.58333333,1,4,0.872089713,0.059108697,407.3297673
6,375,840,414,41401,4140104,2,1,118,1,2,8,2,14.08333333,1,4,0.872089713,0.059108697,407.3297673
7,389,840,414,41401,4140105,1,1,119,0,2,8,2,14.41666667,1,4,0.872089713,0.059108697,407.3297673
9,392,840,414,41401,4140108,1,1,122,1,2,8,2,13.75,1,4,0.872089713,0.059108697,407.3297673
10,331,840,414,41401,4140109,1,1,123,0,2,8,2,13.66666667,1,4,0.872089713,0.059108697,407.3297673
11,390,840,414,41401,4140110,1,1,124,0,2,8,2,14.33333333,1,4,0.872089713,0.059108697,407.3297673
13,390,840,414,41401,4140113,1,1,127,0,2,8,2,13.83333333,1,4,0.872089713,0.059108697,407.3297673
14,392,840,414,41401,4140114,2,1,128,0,2,8,2,14.75,1,4,0.872089713,0.059108697,407.3297673
1,393,840,414,41401,4140116,2,1,130,1,2,8,2,14.16666667,1,4,0.872089713,0.059108697,407.3297673
2,387,840,414,41401,4140117,2,1,131,0,2,8,2,14.5,1,4,0.872089713,0.059108697,407.3297673
3,392,840,414,41401,4140118,1,1,132,0,2,8,2,14.58333333,1,4,0.872089713,0.059108697,407.3297673
4,393,840,414,41401,4140119,1,1,133,0,2,8,2,13.83333333,1,4,0.872089713,0.059108697,407.3297673
5,390,840,414,41401,4140121,2,1,135,0,2,8,2,14.16666667,1,4,0.872089713,0.059108697,407.3297673
6,373,840,414,41401,4140122,1,1,136,0,2,8,2,13.75,1,4,0.872089713,0.059108697,407.3297673
7,375,840,414,41401,4140123,1,1,137,0,2,8,2,14.58333333,1,4,0.872089713,0.059108697,407.3297673
9,390,840,414,41401,4140126,1,1,138,0,2,8,2,14.08333333,1,4,0.872089713,0.059108697,407.3297673
10,331,840,414,41401,4140127,2,1,70139,0,2,8,2,14,1,4,0.872089713,0.059108697,407.3297673
11,393,840,414,41401,4140128,1,1,70140,0,2,8,2,14.08333333,1,4,0.872089713,0.059108697,407.3297673
12,393,840,414,41401,4140129,1,1,70141,0,2,8,2,14.5,1,4,0.872089713,0.059108697,407.3297673
13,392,840,414,41401,4140130,1,1,70142,0,2,8,2,14.41666667,1,4,0.872089713,0.059108697,407.3297673
14,392,840,414,41401,4140131,2,1,70143,0,2,8,2,14.41666667,1,4,0.872089713,0.059108697,407.3297673
8,391,840,414,41402,4140202,2,1,145,1,2,8,2,14.5,1,4,0.945121856,0.064058686,441.4411271
9,390,840,414,41402,4140203,2,1,146,0,2,8,2,14,1,4,0.945121856,0.064058686,441.4411271
10,330,840,414,41402,4140204,1,1,147,0,2,8,2,14.58333333,1,4,0.945121856,0.064058686,441.4411271
11,393,840,414,41402,4140205,2,1,148,0,2,8,2,14,1,4,0.945121856,0.064058686,441.4411271
